Contractor (client),Vessel / facility,NW project & Tier-1 client,Vessel / facility type,Service line,Presence,scope,worker#,member#,EBA status,eba expiry,other unions?,Australian base,Notes,Sources
Fugro,Fugro decommissioning survey / positioning spread,"Woodside WA decom (Enfield, Griffin, Stybarrow, Echo-Yodel)",Survey / positioning / IMR support,Survey & positioning for subsea decommissioning,Recent (2023–26),,,,,,,Perth,"Named among decom specialists (with TechnipFMC, Heerema, McDermott, DOF); specific vessel not itemised.",rigzone.com 2023-06-02
Fugro,"Fugro geophysical/geotech vessels (e.g. Supporter, Voyager/Scout)",NW Shelf site surveys (regional capability),Crewed geophysical & geotechnical drilling vessels,"Site survey, seabed sampling/CPT for foundations & pipelines",Historical / capability,,,,,,,Asia-Pacific (Singapore/Perth),"NW site-survey now largely USV/AUV-based; crewed geotech-drilling is regional-fleet capability, no confirmed current NW deployment.",docs.nopsema.gov.au; offshore-energy.biz
DeepOcean,DeepOcean APAC / Shelf Subsea (Perth HQ),NW Shelf IMR & 2026 WA decommissioning,Shore base / regional HQ,"Diving, ROV, IMR, subsea construction, decommissioning",Current,,,,,,,Perth,DeepOcean acquired Shelf Subsea May 2025 (now 'DeepOcean APAC'). NOPSEMA-approved dive mgmt. DeepOcean's North Sea fleet does NOT work NW Australia.,offshore-technology.com; worldoil.com
DeepOcean,Southern Star,NW Shelf IMR/decom (roams APAC),DP3 dive support vessel (sat diving + ROV),"IMR, subsea construction, decommissioning",Current (Aus-based),,,,,,,Perth / Australia,Flagship DSV; 300 m sat system; 150 t crane. Recent jobs Thailand/NZ — likely candidate for the 2026 WA decom.,shelfsubsea.com
DeepOcean,Southern Nova,NW Shelf DSV fleet (Perth-managed),DP2 dive support vessel (sat diving + ROV),"Diving, IMR, subsea support",Current,,,,,,,Australia-managed,300 m sat system; no specific named in-window NW project confirmed.,shelfsubsea.com
DeepOcean,Oriental Dragon,NW Shelf (Perth-managed); candidate for major decom/construction,DP3 sat diving & subsea construction vessel (twin ROV),"Heavy IMR, construction, decommissioning",Current,,,,,,,Australia-managed,Largest/most modern DSV in the fleet (2019); twin-bell 24-man sat system.,shelfsubsea.com
DeepOcean,2026 WA subsea decommissioning campaign (vessel TBD),Undisclosed WA field — operator not disclosed,Decommissioning / IMR / ROV campaign,Suspend subsea trees; remove flowlines/riser/umbilical; recover DTM buoy,Likely / upcoming (2026),,,,,,,Perth-managed,First major DeepOcean Aus decom award (announced Oct 2025); 300–400 m WD; client/field/vessel undisclosed.,worldoil.com; offshore-energy.biz
Van Oord,Subsea rock-installation (fallpipe) vessel — unit undisclosed (Bravenes/Stornes/Nordnes class),Barossa GEP / Darwin Pipeline Duplication (DEME+Van Oord JV for Allseas) — Santos,Flexible fallpipe rock-installation vessel,Rock placement / pipeline stabilisation & protection,Recent (2023–25),,,,,,,Transient,JV with DEME under Allseas; nearshore/rock works completed 2025. Specific hull not disclosed.,deme-group.com; vanoord.com annual report
Van Oord,Dredger + shore-crossing spread (CSD/TSHD/backhoe + pull winch),"Darwin Pipeline Duplication landfall, Wickham Point (Barossa) — Santos",Dredging / trenching / landfall spread,"Seabed prep, trenching, shore-crossing, pipe-pull",Recent (2023–25),,,,,,,Transient,Same DEME/Van Oord JV; landfall works completed 2025.,splash247.com; vanoord.com
Van Oord,CSD 'Athena' + hopper dredgers (Ichthys),"Ichthys LNG, Darwin Harbour (Walker Shoal) — INPEX",Capital dredging spread,Hard-rock capital dredging for LNG marine access,Historical (2014),,,,,,,Transient,~15 Mm³ dredged; 8-month campaign. Establishes a long NW dredging track record.,bairdmaritime.com
Vantris (Sapura),Sapura Constructor,Northern Endeavour / Laminaria-Corallina decom — Australian Govt (via Petrofac),"Subsea construction / DSV (sat diving, 2× ROV)","Well suspension/flushing, subsea construction, decom",Recent / Current (2024–25),,,,,,,Transient (Darwin ops),Vantris's clearest NW deployment. Well suspension & pipeline flushing; FPSO disconnect H2 2025. Decom of an orphaned govt asset (not a Tier-1 project).,industry.gov.au; vantrisenergy.com
Vantris (Sapura),Sapura 3500,Australian decommissioning (field unspecified),"DP3 heavy-lift pipelay vessel (3,500 t crane)","Heavy-lift, pipelay, decommissioning",Recent (2023–25); departing,,,,,,,Transient,Vantris signalling redeployment to Brazil as Aus decom matures. Field not stated in sources.,offsnet.com; vantrisenergy.com
Vantris (Sapura),Sapura 1200,Australian decommissioning (with Sapura 3500),Derrick lay barge / heavy-lift-pipelay,"Heavy-lift, pipelay, structure install/removal",Recent (2023–25); departing,,,,,,,Transient,Field not stated; intended redeployment to Brazil.,offsnet.com
Vantris (Sapura),Dorado WHP (FEED),"Dorado, Bedout Sub-basin — Santos",Wellhead-platform EPCI — FEED only (no vessel yet),Design / build / install of unmanned WHP (~90 m WD),Likely / upcoming (stalled),,,,,,,n/a,"FEED won Aug 2021; Santos deferred FID (paused 2024–25). Contingent future award, not current work.",offshore-technology.com; nsenergybusiness.com
,,,,,,,,,,,,,,
LEGEND & METHOD,,,,,,,,,,,,,,
Presence colours:,,,,,,,,,,,,,,
  Current — on station / based here now,   ,,,,,,,,,,,,,
  Recent — worked NW region ~2023–2025,   ,,,,,,,,,,,,,
  Likely / upcoming — awarded or expected next ~year,   ,,,,,,,,,,,,,
  Historical / capability / overseas-fabrication (context),   ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"SCOPE: NW Australia offshore oil & gas (Carnarvon / North West Shelf, Browse, Bonaparte / Timor Sea; offshore WA & NT). Vessels/facilities now, recently, or likely next ~year + key historical NW context, flagged by Presence.",,,,,,,,,,,,,,
Columns parallel your 'Offshore - Key Assets' tab: Contractor (client) = the marine employer/organising unit; NW project & Tier-1 client links to your operators; 'Service line' is the marine sub-sector (pipelay / survey / diving-IMR / rock & dredging / decommissioning). scope + worker#/member#/EBA columns match your other tabs — blank to populate.,,,,,,,,,,,,,,
"Reality check: the NW marine universe now is dominated by (1) Scarborough & Barossa installation (mostly WRAPPING UP 2024–25), (2) Jansz-Io Compression (Saipem, LIVE now), and (3) a wave of WA decommissioning (Stybarrow/Griffin/Campbell/Northern Endeavour + DeepOcean's undisclosed 2026 award). Greenfield installation is thin; decommissioning is the growth area.",,,,,,,,,,,,,,
Bases matter for organising: Fugro and DeepOcean (via Shelf Subsea) have PERMANENT Perth workforces; Subsea7 & McDermott run Perth project offices; Saipem/Allseas/Van Oord/Vantris mobilise vessels TRANSIENTLY (crew changes via Dampier/Broome/Darwin).,,,,,,,,,,,,,,
"OUT OF NW REGION (excluded): Allseas 'Pioneering Spirit' → Bass Strait/Gippsland decom (ExxonMobil, 2027); Fugro 'Fugro Mariner' → Gippsland offshore WIND; Helix (Q7000, Bass Strait BMG). All SE Australia, not NW.",,,,,,,,,,,,,,
"ADJACENT contractors in the NW universe NOT on your 8 (say the word and I'll add them): DOF (Skandi Hercules — Stybarrow), TechnipFMC (Deep Orient — Griffin), Heerema, Boskalis (Scarborough FPU tow), CNOOC (Crux jacket T&I), Aker Solutions (Jansz-Io subsea compression supply), DEME (Van Oord's Barossa JV partner), Petrofac (Northern Endeavour Phase-1 manager). NB several already appear on your 'Offshore - contractors' Marine list (DOF, etc.).",,,,,,,,,,,,,,
'Vantris' = the 1 Aug 2025 rebrand of Sapura Energy (Malaysia); vessels keep their Sapura names. Its six Sapura PLSVs are all on charter to Petrobras in Brazil (not in region).,,,,,,,,,,,,,,
"Status as at Sep 2026, from contractor sites, NOPSEMA and offshore trade press. Vessel presence is transient — confirm current on-station status before publishing.",,,,,,,,,,,,,,
