Tier,Operator,Company,Category,Scope(s),Basis,Offshore assets linked (this operator),Onshore facilities (this operator),Confidence,Note
Tier 1,Shell,Programmed,Offshore contractor,Marine; Drilling; Catering; Maintenance; ROV; Construction; Hookup/Commissioning; Decomm,"contract/EA, via asset",Prelude FLNG (M),,M,
Tier 1,Shell,Transocean (sedco forex),Offshore contractor,Drilling,"contract/EA, via asset",Crux (M),,M,
Tier 1,Shell,CHC,Offshore contractor,Helicopters,"contract/EA, via asset",Prelude FLNG (L),,L,
Tier 1,Shell,Enemech,Offshore contractor,Maintenance,"contract/EA, via asset",Prelude FLNG (L); Crux (L),,L,
Tier 1,Shell,Oceaneering,Offshore contractor,ROV,contract/EA,,,L,
Tier 1,Shell,Atlas Professionals,Added employer,(not on your contractors tab — ADDED) Crewing / labour hire (Marine; Drilling; Catering; HUC),"contract/EA, via asset",Prelude FLNG (H),,H,
Tier 1,Shell,Technip Energies / TechnipFMC,Added employer,(not on your contractors tab — ADDED) Construction / HUC / subsea / decom,"contract/EA, via asset",Crux (H); Prelude FLNG (H),,H,
Tier 1,Shell,Parabellum,Added employer,(not on your contractors tab — ADDED) Emergency services / medical,contract/EA,,,L,
Tier 1,Shell,Solstad Australia,Added employer,(not on your contractors tab — ADDED) Marine,contract/EA,,,L,
Tier 1,Woodside,Saipem,Marine key client,Pipelay / heavy-lift construction,"contract/EA, via asset",Scarborough FPU (H),,H,
Tier 1,Woodside,Subsea7,Marine key client,SURF / reel-lay,"contract/EA, via asset",Scarborough FPU (H); Julimar-Brunello (H),,H,
Tier 1,Woodside,AOS,Offshore contractor,Marine; Catering; ROV; Construction,"contract/EA, via asset",Scarborough FPU (H); Enfield (Nganhurra FPSO – removed) (L),,H,
Tier 1,Woodside,Cyan,Offshore contractor,Marine,"contract/EA, via asset",Scarborough FPU (H); North Rankin Complex (North Rankin A & B) (H); Goodwyn A (H); Angel (H); Pluto A (H); Okha FPSO (CWLH) (M); Ngujima-Yin FPSO (M),,H,
Tier 1,Woodside,DOF,Offshore contractor,Marine; ROV,"contract/EA, via asset",Okha FPSO (CWLH) (H); Enfield (Nganhurra FPSO – removed) (H); Stybarrow (Stybarrow Venture FPSO – removed) (H); Griffin (Griffin Venture FPSO – departed) (H); Bass Strait platforms (GBJV + Kipper Unit JV) (H),,H,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,Enemech,Offshore contractor,Maintenance,"contract/EA, via asset",Okha FPSO (CWLH) (M); Ngujima-Yin FPSO (M); Bass Strait platforms (GBJV + Kipper Unit JV) (M),,H,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,Eris (Kuiper),Offshore contractor,Maintenance; Construction; Decomm,"contract/EA, via asset",Pluto A (M); Scarborough FPU (H); Bass Strait platforms (GBJV + Kipper Unit JV) (L),,H,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,ESS,Offshore contractor,Catering,"contract/EA, via asset",North Rankin Complex (North Rankin A & B) (H); Goodwyn A (H); Ngujima-Yin FPSO (M); Okha FPSO (CWLH) (M); Scarborough FPU (M),,H,
Tier 1,Woodside,Fugro,Offshore contractor / marine key client,Surveyors; ROV,"contract/EA, via asset","Scarborough FPU (H); Greater Sunrise (Sunrise, Troubadour) (M); NWS subsea tiebacks (GWF, Lambert, Persephone, Wildling, Keast/Dockrell/Sculptor) (M); Enfield (Nganhurra FPSO – removed) (M); Griffin (Griffin Venture FPSO – departed) (M); Stybarrow (Stybarrow Venture FPSO – removed) (M)",,H,
Tier 1,Woodside,Go Offshore,Offshore contractor,Marine,"contract/EA, via asset",North Rankin Complex (North Rankin A & B) (H); Goodwyn A (H); Angel (H),,H,
Tier 1,Woodside,Hjelix,Offshore contractor,ROV,"contract/EA, via asset",Bass Strait platforms (GBJV + Kipper Unit JV) (H),,H,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,Legeneering,Offshore contractor,Maintenance; Hookup/Commissioning,"contract/EA, via asset",Ngujima-Yin FPSO (H); Okha FPSO (CWLH) (H); North Rankin Complex (North Rankin A & B) (H); Goodwyn A (H); Pluto A (H),,H,
Tier 1,Woodside,McDermott,Offshore contractor / marine key client,Construction,"contract/EA, via asset",Scarborough FPU (H); Stybarrow (Stybarrow Venture FPSO – removed) (H); Griffin (Griffin Venture FPSO – departed) (M),,H,
Tier 1,Woodside,MEA,Offshore contractor,Decomm,"contract/EA, via asset",North Rankin Complex (North Rankin A & B) (H); Goodwyn A (H); Angel (H),,H,
Tier 1,Woodside,Monadelphous,Offshore contractor,Maintenance; Hookup/Commissioning,"contract/EA, via asset + onshore tab",North Rankin Complex (North Rankin A & B) (H); Goodwyn A (H); Angel (H); Pluto A (H); Okha FPSO (CWLH) (H); Scarborough FPU (H),Woodside Gas Plant (Karratha); Woodside Pluto 1 (Karratha); Woodside Pluto 2 (Karratha),H,
Tier 1,Woodside,Noble,Offshore contractor,Drilling,contract/EA,,,H,
Tier 1,Woodside,PHI,Offshore contractor,Helicopters,"contract/EA, via asset","Scarborough FPU (H); North Rankin Complex (North Rankin A & B) (M); Goodwyn A (M); Angel (M); NWS subsea tiebacks (GWF, Lambert, Persephone, Wildling, Keast/Dockrell/Sculptor) (M); Pluto A (M); Okha FPSO (CWLH) (L); Ngujima-Yin FPSO (L); Pyrenees Venture FPSO (L)",,H,
Tier 1,Woodside,Reach,Offshore contractor,ROV,"contract/EA, via asset",Scarborough FPU (H),,H,
Tier 1,Woodside,Transocean (sedco forex),Offshore contractor,Drilling,"contract/EA, via asset","Enfield (Nganhurra FPSO – removed) (H); Stybarrow (Stybarrow Venture FPSO – removed) (H); Julimar-Brunello (H); NWS subsea tiebacks (GWF, Lambert, Persephone, Wildling, Keast/Dockrell/Sculptor) (H); North Rankin Complex (North Rankin A & B) (M); Angel (M)",,H,
Tier 1,Woodside,Valaris (Ensco,Offshore contractor,Drilling,"contract/EA, via asset",Scarborough FPU (H); Bass Strait platforms (GBJV + Kipper Unit JV) (H),,H,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,vertech,Offshore contractor,Helicopters,"contract/EA, via asset",North Rankin Complex (North Rankin A & B) (H); Goodwyn A (H); Angel (H); Okha FPSO (CWLH) (H); Ngujima-Yin FPSO (M); Pyrenees Venture FPSO (M); Scarborough FPU (L),,H,
Tier 1,Woodside,Wood,Offshore contractor,Helicopters,"contract/EA, via asset","North Rankin Complex (North Rankin A & B) (H); Goodwyn A (H); Okha FPSO (CWLH) (H); Bass Strait platforms (GBJV + Kipper Unit JV) (H); Greater Sunrise (Sunrise, Troubadour) (L)",,H,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,CHC,Offshore contractor,Helicopters,"contract/EA, via asset","North Rankin Complex (North Rankin A & B) (M); Goodwyn A (M); Angel (M); NWS subsea tiebacks (GWF, Lambert, Persephone, Wildling, Keast/Dockrell/Sculptor) (M); Okha FPSO (CWLH) (M); Ngujima-Yin FPSO (M); Pyrenees Venture FPSO (M); Macedon (M)",,M,
Tier 1,Woodside,OSM,Offshore contractor,Marine; Drilling; ROV; Construction; Decomm,"contract/EA, via asset",North Rankin Complex (North Rankin A & B) (M); Goodwyn A (M); Angel (M); Pluto A (M); Scarborough FPU (L),,M,
Tier 1,Woodside,Sierra,Offshore contractor,Marine,"contract/EA, via asset","Scarborough FPU (M); Enfield (Nganhurra FPSO – removed) (M); Stybarrow (Stybarrow Venture FPSO – removed) (M); NWS subsea tiebacks (GWF, Lambert, Persephone, Wildling, Keast/Dockrell/Sculptor) (M); Okha FPSO (CWLH) (M)",,M,
Tier 1,Woodside,UGL,Offshore contractor,Maintenance,"contract/EA, via asset + onshore tab",Bass Strait platforms (GBJV + Kipper Unit JV) (M); Scarborough FPU (L),Woodside Gas Plant (Karratha); Woodside Pluto 1 (Karratha),M,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,GGC,Offshore contractor,Decomm,"contract/EA, via asset",Julimar-Brunello (L); Bass Strait platforms (GBJV + Kipper Unit JV) (L),,L,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,Kaefer (ISOLOGIC),Offshore contractor,Maintenance,via asset,Bass Strait platforms (GBJV + Kipper Unit JV) (L),,L,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,Oceaneering,Offshore contractor,ROV,contract/EA,,,L,
Tier 1,Woodside,Programmed,Offshore contractor,Marine; Drilling; Catering; Maintenance; ROV; Construction; Hookup/Commissioning; Decomm,"contract/EA, via asset",Scarborough FPU (L),,L,
Tier 1,Woodside,Sodexo,Offshore contractor,Catering,"contract/EA, via asset",Bass Strait platforms (GBJV + Kipper Unit JV) (L),,L,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,Applus+,Added employer,(not on your contractors tab — ADDED) Inspection / Integrity,"contract/EA, via asset + onshore tab",Okha FPSO (CWLH) (H); Ngujima-Yin FPSO (H); Pyrenees Venture FPSO (M); North Rankin Complex (North Rankin A & B) (M); Goodwyn A (M); Angel (M); Pluto A (M),Woodside Gas Plant (Karratha),H,
Tier 1,Woodside,Boskalis,Added employer,(not on your contractors tab — ADDED) Marine (dredging / towage),"contract/EA, via asset",Scarborough FPU (H),,H,
Tier 1,Woodside,Condex,Added employer,(not on your contractors tab — ADDED) Electrical / instrumentation,"contract/EA, via asset",Bass Strait platforms (GBJV + Kipper Unit JV) (H),,H,"Bass Strait = ex-Esso, Woodside-operated from 1 Jul 2026"
Tier 1,Woodside,Technip Energies / TechnipFMC,Added employer,(not on your contractors tab — ADDED) Construction / HUC / subsea / decom,"contract/EA, via asset",Griffin (Griffin Venture FPSO – departed) (H); Julimar-Brunello (H); Pluto A (M); Enfield (Nganhurra FPSO – removed) (M); Stybarrow (Stybarrow Venture FPSO – removed) (M),,H,
Tier 1,Woodside,Atlas Professionals,Added employer,(not on your contractors tab — ADDED) Crewing / labour hire (Marine; Drilling; Catering; HUC),"contract/EA, via asset",North Rankin Complex (North Rankin A & B) (L); Goodwyn A (L); Angel (L),,M,
Tier 1,Woodside,Bhagwan Marine,Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset",Angel (M),,M,
Tier 1,Woodside,Heerema,Added employer,(not on your contractors tab — ADDED) Heavy lift / construction,"contract/EA, via asset",Enfield (Nganhurra FPSO – removed) (M); Griffin (Griffin Venture FPSO – departed) (M); Stybarrow (Stybarrow Venture FPSO – removed) (M),,M,
Tier 1,Woodside,IAS,Added employer,(not on your contractors tab — ADDED) Maintenance (fabric),contract/EA,,,M,
Tier 1,Woodside,Solstad Australia,Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset","Scarborough FPU (M); Enfield (Nganhurra FPSO – removed) (M); NWS subsea tiebacks (GWF, Lambert, Persephone, Wildling, Keast/Dockrell/Sculptor) (M); Angel (M)",,M,
Tier 1,Woodside,SEA1 Offshore (ex-Siem),Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset",North Rankin Complex (North Rankin A & B) (L); Goodwyn A (L); Angel (L); Pluto A (L),,L,
Tier 1,Woodside,Bechtel,Onshore contractor,Onshore (see onshore tab),onshore tab,,Woodside Pluto 2 (Karratha),onshore,
Tier 1,Woodside,C2O,Onshore contractor,Onshore (see onshore tab),onshore tab,,Woodside Pluto 2 (Karratha),onshore,
Tier 1,Woodside,KBSS,Onshore contractor,Onshore (see onshore tab),onshore tab,,Woodside Pluto 2 (Karratha),onshore,
Tier 1,Inpex,Saipem,Marine key client,Pipelay / heavy-lift construction,"contract/EA, via asset",Ichthys Explorer (CPF) (L),,L,
Tier 1,Inpex,Baker Hughes,Offshore contractor,Drilling,"contract/EA, via asset",Ichthys Explorer (CPF) (H),,H,
Tier 1,Inpex,Cyan,Offshore contractor,Marine,"contract/EA, via asset",Ichthys Explorer (CPF) (H); Ichthys Venturer (FPSO) (H),,H,
Tier 1,Inpex,Enemech,Offshore contractor,Maintenance,"contract/EA, via asset",Ichthys Explorer (CPF) (H); Ichthys Venturer (FPSO) (H),,H,
Tier 1,Inpex,ESS,Offshore contractor,Catering,"contract/EA, via asset",Ichthys Explorer (CPF) (H); Ichthys Venturer (FPSO) (H),,H,
Tier 1,Inpex,Go Offshore,Offshore contractor,Marine,"contract/EA, via asset",Ichthys Explorer (CPF) (H); Ichthys Venturer (FPSO) (H),,H,
Tier 1,Inpex,Monadelphous,Offshore contractor,Maintenance; Hookup/Commissioning,"contract/EA, via asset + onshore tab",Ichthys Explorer (CPF) (H); Ichthys Venturer (FPSO) (H),Inpex (Darwin),H,
Tier 1,Inpex,Noble,Offshore contractor,Drilling,"contract/EA, via asset",Ichthys Explorer (CPF) (H),,H,
Tier 1,Inpex,PHI,Offshore contractor,Helicopters,"contract/EA, via asset",Ichthys Explorer (CPF) (H); Ichthys Venturer (FPSO) (H),,H,
Tier 1,Inpex,vertech,Offshore contractor,Helicopters,"contract/EA, via asset",Ichthys Explorer (CPF) (H); Ichthys Venturer (FPSO) (H),,H,
Tier 1,Inpex,Eris (Kuiper),Offshore contractor,Maintenance; Construction; Decomm,"contract/EA, via asset",Ichthys Explorer (CPF) (M),,M,
Tier 1,Inpex,Kaefer (ISOLOGIC),Offshore contractor,Maintenance,"contract/EA, via asset",Ichthys Venturer (FPSO) (M),,M,
Tier 1,Inpex,McDermott,Offshore contractor / marine key client,Construction,"contract/EA, via asset",Ichthys Explorer (CPF) (M),,M,
Tier 1,Inpex,GGC,Offshore contractor,Decomm,"contract/EA, via asset",Ichthys Explorer (CPF) (L),,L,
Tier 1,Inpex,GR Production Services,Added employer,(not on your contractors tab — ADDED) Operations personnel / maintenance,"contract/EA, via asset",Ichthys Explorer (CPF) (M); Ichthys Venturer (FPSO) (M),,H,
Tier 1,Inpex,Heerema,Added employer,(not on your contractors tab — ADDED) Heavy lift / construction,"contract/EA, via asset",Ichthys Explorer (CPF) (H); Ichthys Venturer (FPSO) (H),,H,
Tier 1,Inpex,Solstad Australia,Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset",Ichthys Explorer (CPF) (M),,M,
Tier 1,Inpex,Parabellum,Added employer,(not on your contractors tab — ADDED) Emergency services / medical,contract/EA,,,L,
Tier 1,Inpex,Inpex,Onshore contractor,Onshore (see onshore tab),onshore tab,,Inpex (Darwin),onshore,
Tier 2,Santos,Allseas,Marine key client,Pipelay,"contract/EA, via asset",Barossa (BW Opal FPSO) (H),,H,
Tier 2,Santos,Subsea7,Marine key client,SURF / reel-lay,"contract/EA, via asset",Barossa (BW Opal FPSO) (H),,H,
Tier 2,Santos,Van Oord,Marine key client,Rock installation / dredging,"contract/EA, via asset",Barossa (BW Opal FPSO) (H),,H,
Tier 2,Santos,Vantris (Sapura),Marine key client,Construction / decommissioning,"contract/EA, via asset",Dorado (L),,L,
Tier 2,Santos,Eris (Kuiper),Offshore contractor,Maintenance; Construction; Decomm,"contract/EA, via asset",Barossa (BW Opal FPSO) (H),,H,
Tier 2,Santos,Go Offshore,Offshore contractor,Marine,"contract/EA, via asset",Ningaloo Vision FPSO (H),,H,
Tier 2,Santos,McDermott,Offshore contractor / marine key client,Construction,"contract/EA, via asset","Campbell platform (Santos, Varanus hub) — NOT on Key Assets tab (H); Harriet Alpha platform (Santos Harriet JV, Varanus area) — NOT on Key Assets tab (H)",,H,
Tier 2,Santos,Monadelphous,Offshore contractor,Maintenance; Hookup/Commissioning,via asset,Barossa (BW Opal FPSO) (H),,H,
Tier 2,Santos,Noble,Offshore contractor,Drilling,"contract/EA, via asset",Halyard (H); Spar / Greater East Spar (H); Bayu-Undan (M); Dorado (L),,H,
Tier 2,Santos,OSA,Offshore contractor,Helicopters,"contract/EA, via asset",Bayu-Undan (H); John Brookes (M); Spar / Greater East Spar (M); Halyard (M); Reindeer (M),,H,
Tier 2,Santos,Sodexo,Offshore contractor,Catering,contract/EA,,,H,
Tier 2,Santos,Transocean (sedco forex),Offshore contractor,Drilling,contract/EA,,,H,
Tier 2,Santos,Valaris (Ensco,Offshore contractor,Drilling,"contract/EA, via asset",Barossa (BW Opal FPSO) (H),,H,
Tier 2,Santos,WPF(Duratech),Offshore contractor,Decomm,"contract/EA, via asset + onshore tab","Harriet Alpha platform (Santos Harriet JV, Varanus area) — NOT on Key Assets tab (H); Ningaloo Vision FPSO (H); John Brookes (M); Spar / Greater East Spar (M); Halyard (M)",Santos Onshore (Varanus Island); Santos Onshore (Varanus Island),H,
Tier 2,Santos,Fugro,Offshore contractor / marine key client,Surveyors; ROV,"contract/EA, via asset",Bayu-Undan (M),,M,
Tier 2,Santos,Kaefer (ISOLOGIC),Offshore contractor,Maintenance,"contract/EA, via asset",John Brookes (M); Spar / Greater East Spar (M); Spartan (M),,M,
Tier 2,Santos,UGL,Offshore contractor,Maintenance,"contract/EA, via asset + onshore tab",John Brookes (M); Spar / Greater East Spar (M); Halyard (M),Santos Onshore (Varanus Island); Santos Offshore (Varanus Island),M,
Tier 2,Santos,vertech,Offshore contractor,Helicopters,"contract/EA, via asset",Ningaloo Vision FPSO (M); Barossa (BW Opal FPSO) (L),,M,
Tier 2,Santos,Wood,Offshore contractor,Helicopters,via asset,Barossa (BW Opal FPSO) (M),,M,
Tier 2,Santos,AOS,Offshore contractor,Marine; Catering; ROV; Construction,contract/EA,,,L,
Tier 2,Santos,Programmed,Offshore contractor,Marine; Drilling; Catering; Maintenance; ROV; Construction; Hookup/Commissioning; Decomm,via asset,Barossa (BW Opal FPSO) (L),,L,
Tier 2,Santos,Weststar-GAP,Added employer,(not on your contractors tab — ADDED) Helicopters,"contract/EA, via asset",Bayu-Undan (H); Barossa (BW Opal FPSO) (L),,H,
Tier 2,Santos,Bhagwan Marine,Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset","Harriet Alpha platform (Santos Harriet JV, Varanus area) — NOT on Key Assets tab (M)",,M,
Tier 2,Santos,Solstad Australia,Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset",Bayu-Undan (L),,L,
Tier 2,Santos,Santos,Onshore contractor,Onshore (see onshore tab),onshore tab,,Santos Onshore (Varanus Island); Santos Offshore (Varanus Island),onshore,
Tier 2,Jadestone,Valaris (Ensco,Offshore contractor,Drilling,"contract/EA, via asset",Montara (Montara Venture FPSO + WHP) (H),,H,
Tier 2,Jadestone,CHC,Offshore contractor,Helicopters,"contract/EA, via asset",Stag (M),,M,
Tier 2,Jadestone,vertech,Offshore contractor,Helicopters,"contract/EA, via asset",Montara (Montara Venture FPSO + WHP) (M),,M,
Tier 2,Jadestone,WPF(Duratech),Offshore contractor,Decomm,"contract/EA, via asset",Stag (L),,M,
Tier 2,Jadestone,DOF,Offshore contractor,Marine; ROV,"contract/EA, via asset",Montara (Montara Venture FPSO + WHP) (L),,L,
Tier 2,Jadestone,OSA,Offshore contractor,Helicopters,"contract/EA, via asset",Montara (Montara Venture FPSO + WHP) (L),,L,
Tier 2,Jadestone,Bhagwan Marine,Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset",Montara (Montara Venture FPSO + WHP) (H); Stag (H),,H,
Tier 2,MODEC,CHC,Offshore contractor,Helicopters,via asset,Pyrenees Venture FPSO (M),,M,via Pyrenees Venture FPSO (MODEC-operated vessel on a Woodside field)
Tier 2,MODEC,Legeneering,Offshore contractor,Maintenance; Hookup/Commissioning,contract/EA,,,M,
Tier 2,MODEC,vertech,Offshore contractor,Helicopters,"contract/EA, via asset",Pyrenees Venture FPSO (M),,M,via Pyrenees Venture FPSO (MODEC-operated vessel on a Woodside field)
Tier 2,MODEC,PHI,Offshore contractor,Helicopters,via asset,Pyrenees Venture FPSO (L),,L,via Pyrenees Venture FPSO (MODEC-operated vessel on a Woodside field)
Tier 2,MODEC,Applus+,Added employer,(not on your contractors tab — ADDED) Inspection / Integrity,via asset,Pyrenees Venture FPSO (M),,M,via Pyrenees Venture FPSO (MODEC-operated vessel on a Woodside field)
Tier 2,BW Opal (BW Offshore),Allseas,Marine key client,Pipelay,via asset,Barossa (BW Opal FPSO) (H),,H,Barossa FIELD development contractor (Santos-contracted); listed here because your Key Assets tab puts Barossa under BW Offshore
Tier 2,BW Opal (BW Offshore),Subsea7,Marine key client,SURF / reel-lay,via asset,Barossa (BW Opal FPSO) (H),,H,Barossa FIELD development contractor (Santos-contracted); listed here because your Key Assets tab puts Barossa under BW Offshore
Tier 2,BW Opal (BW Offshore),Van Oord,Marine key client,Rock installation / dredging,via asset,Barossa (BW Opal FPSO) (H),,H,Barossa FIELD development contractor (Santos-contracted); listed here because your Key Assets tab puts Barossa under BW Offshore
Tier 2,BW Opal (BW Offshore),Eris (Kuiper),Offshore contractor,Maintenance; Construction; Decomm,via asset,Barossa (BW Opal FPSO) (H),,H,Barossa FIELD development contractor (Santos-contracted); listed here because your Key Assets tab puts Barossa under BW Offshore
