#,Area,Item,"Colleague's matrix says (Sep 2026, whiteboard)",Our OA universe says,Verdict,Action taken / recommended,Basis,"Decision / status (Troy, 22 Sep 2026)"
11,Facility,Scarborough FPU — first gas date,'First gas flowed in July 2026',Key Assets said 'first gas Aug 2026',INCONSISTENT,VERIFIED: first gas 29 Jul 2026 (Woodside announcement; LNG Prime 29/7/26). Colleague RIGHT — our Key Assets status CORRECTED (cell comment added),lngprime.com 29 Jul 2026,CORRECTED on Key Assets (29 Jul 2026).
12,Facility,Pyrenees Venture FPSO — operator,'Woodside is titleholder/operator and MODEC provides FPSO O&M' (row labelled Woodside / MODEC),Your Key Assets tab lists MODEC as 'Tier 1 operator',INCONSISTENT,"Recommend Tier-1 = Woodside, vessel operator = MODEC (matches our research + colleague). Not changed — your call; comment added on the cell. Operator-companies tab already attributes Pyrenees to both",Both + Woodside/MODEC sources,AGREED (Troy): Tier-1 = Woodside. IMPLEMENTED: new 'Facility / vessel operator' column on Key Assets carries MODEC; same rule applied to Barossa (Santos | BW Offshore) — revert if unwanted.
13,Facility,Varanus Island hub (John Brookes / Greater East Spar / Spartan),One combined hub row; John Brookes normally unmanned,"Separate rows: John Brookes, Spar/Greater East Spar, Halyard, Spartan (+ Reindeer ceased); JB = NUI",Scope / granularity,"No change; colleague omits Halyard (operating, first gas Feb 2025) — their gap",Both,
14,Facility,Barossa / BW Opal FPSO,ABSENT,Santos/BW Offshore; Operating since Sep 2025; Monadelphous 4-yr maintenance (H); Wood EA; Valaris/Allseas/Subsea7/Van Oord built it,Our extra,Colleague's doc is WA-only (Barossa is offshore NT) — but it is a core OA target; make sure it's in the shared picture,Our research,
15,Facility,Bayu-Undan; Northern Endeavour; Harriet Alpha; Campbell,ABSENT,Bayu-Undan ceased (CCS pre-FID); Northern Endeavour decom (8 employers); Harriet Alpha & Campbell decom (McDermott/WPF Duratec),Our extra,Colleague focused on production facilities; decommissioning is where the employer churn is — worth sharing,Our research,
16,Facility,Macedon; Julimar-Brunello; NWS subsea tiebacks; Halyard; Reindeer; Jansz-Io Compression,ABSENT (Julimar/Brunello folded into Wheatstone),All on our Key Assets tab with statuses,Our extra,No action,Our research,
17,Facility,"Decommissioning assets (Enfield, Stybarrow, Griffin, Minerva, Thevenard, Mutineer-Exeter, Fletcher-Finucane) & planned (Browse, Sunrise, Dorado, Corvus) & Bass Strait",ABSENT,All on our Key Assets tab,Our extra,No action (colleague scoped to current WA production),Our research,
18,Key update,Ningaloo Vision FPSO,Production ceased; FPSO departed Australia Aug 2025 for recycling,Ceased Aug 2025; FPSO disconnected & left field; removal through 2026,Consistent,Adopted colleague's detail ('departed Aug 2025 for recycling') into the Key Assets status (comment added),Both,ADOPTED into Key Assets status.
19,Catering,ESS → Wheatstone Platform; Ichthys Explorer & Venturer,ESS / Compass,ESS (H — EA titles),Consistent,—,Both,
20,Catering,ESS → North Rankin Complex; Goodwyn A,ESS / Compass,ESS (inferred from 'Woodside Platforms' EA),Consistent,Confidence raised to H (WB confirms),Both,
21,Catering,ESS → Angel; Pluto A,ESS / Compass,Not listed — both are normally-unmanned installations,New info — adopted,Adopted at LOW with caveat: NUIs only need catering during manned campaigns/shutdowns — check what the whiteboard meant,Colleague WB,DECISION (Troy): removed — not permanently staffed; extended maintenance/repair arrangements are project-specific.
22,Catering,ESS → Ngujima-Yin FPSO; Okha FPSO,ESS / Compass,'Ngujima-Yin/Okha catering NOT confirmed',New info — adopted,Adopted at M [WB],Colleague WB,
23,Catering,ESS → Scarborough FPU,ESS / Compass,Not identified,New info — adopted,Adopted at M [WB],Colleague WB,
24,Catering,Prelude FLNG caterer,SODEXO,ESS (M-H — from a 2022 'ESS & AWU (Shell Prelude) Greenfields Agreement'); Sodexo 'historic to ~2022',INCONSISTENT,"VERIFIED lean: Sodexo has held Prelude facilities management (catering, accommodation, housekeeping, helideck admin) since 2015, re-partnered 2019; no public switch found. REVISED: Sodexo H, ESS L (2022 greenfields scope unclear — confirm with members)",Sodexo/Shell releases 2015 & 2019; colleague WB,VERIFIED (Troy 22 Sep 2026): Sodexo. ESS removed at Prelude.
25,Catering,Sodexo → Santos Varanus Island hub,Sodexo,Sodexo (H — 5-yr Santos contract from Dec 2024),Consistent,—,Both,
26,Catering,Gorgon / Barrow Island,No offshore platform; Barrow Island provider not confirmed,Same — Barrow onshore caterer not on our onshore tab,Gap (both),Research item: Barrow Island camp/catering provider (Chevron),Both,
27,Catering,Crux,No permanent catering (NNM),Same,Consistent,—,Both,
28,Catering,Pyrenees Venture FPSO,No external caterer; MODEC operating structure includes catering positions,No caterer identified,New info — adopted,"Adopted: 'MODEC (self-performed, incl. catering)' on the facility x scope tab",Colleague WB,
29,Catering,Stag; Montara,Not yet confirmed,Not identified either,Gap (both),Research item: Jadestone's caterer(s) at Stag & Montara Venture,Both,
30,Maintenance,Monadelphous → Prelude; Crux (HUC); Ichthys E/V; NRC; GWA; Angel; Pluto A; Scarborough (HUC),Monadelphous,Monadelphous (H) on all of these,Consistent,—,Both,
31,Maintenance,Okha FPSO maintenance,Legeneering only,Legeneering (H) AND Monadelphous (H — Monadelphous's Woodside-facilities page lists Okha in its maintenance contract),INCONSISTENT,"Both kept; likely Legeneering = FPSO maintenance, Monadelphous = campaign/shutdown/brownfields incl. Okha — verify the split",Legeneering & Monadelphous project pages; colleague WB,AGREED (Troy): keep both Legeneering and Monadelphous.
32,Maintenance,Monadelphous → Barossa (BW Opal FPSO),ABSENT (Barossa not in scope),Monadelphous 4-yr maintenance for BW Offshore from Q1 2026 (H),Our extra,Share with colleague,capitalbrief Jan 2026,
33,Maintenance,Legeneering → NRC; GWA; Pluto A,Legeneering,Legeneering (M — 'listed as work sites'),Consistent,Confidence raised M → H (WB confirms),Both,
34,Maintenance,Legeneering → Ngujima-Yin; Okha,Legeneering,Legeneering (H),Consistent,—,Both,
35,Maintenance,Legeneering → Pyrenees Venture,MODEC performs O&M itself,Legeneering (M — BHP-era 2016 listing),INCONSISTENT,Downgraded Legeneering/Pyrenees to L (likely historic); MODEC self-performed O&M adopted,Colleague WB,DECISION (Troy): removed pending confirmation — colleague highly likely correct.
36,Maintenance,UGL → Wheatstone Platform,UGL; Altrad,UGL (L — contracts don't split on/offshore),New info — adopted,UGL/Wheatstone Platform raised L → M [WB],Colleague WB,
37,Maintenance,Altrad → Wheatstone Platform,UGL; Altrad,Altrad (M-H — case study),Consistent,Raised to H (WB confirms),Both,
38,Maintenance,UGL / Altrad → Gorgon / Barrow Island,UGL; Altrad,Both on your onshore tab at Gorgon (Barrow),Consistent,—,Both,
39,Maintenance,KAEFER → Ichthys Venturer (offshore project work),KAEFER has performed Ichthys offshore project work,Kaefer: onshore Ichthys + shutdowns only; offshore 'None found',New info — adopted,Adopted at M [WB]; Kaefer confidence lifted from 'None found' to Medium,Colleague WB,
40,Maintenance,KAEFER → Santos WA assets (Varanus hub),Santos national maintenance contract includes WA assets; facility scope not confirmed,Same note (Santos national maintenance 2023+; Varanus unverified),Consistent,Adopted at M for John Brookes / Spar / Spartan via Varanus [WB],Both,
41,Maintenance,Scarborough long-term maintenance,Not confirmed (Monadelphous HUC only),Same — not identified,Gap (both),Research item: Woodside may extend the Monadelphous NWS maintenance contract (2023–28) to Scarborough — watch,Both,
42,Maintenance,Stag; Montara maintenance contractor,Not yet confirmed,"Not identified (we have Bhagwan marine, Valaris drilling, Vertech inspection, WPF minor)",Gap (both),Research item: Jadestone maintenance/labour model,Both,
43,Whiteboard companies,Entier,On whiteboard; no facility link,"Same — 2024 greenfields EA, facility unknown",Gap (both),Read the Entier 2024 EA coverage clause,Both,
44,Whiteboard companies,AOS,On whiteboard; no facility link,"HIGH — crewing behind Saipem (Castorone, JSD 6000), McDermott (Scarborough FPU tow), Subsea7, Solstad, Boskalis, Helix",Their gap — we fill,Share our AOS row with colleague,Our research,
45,Whiteboard companies,Programmed,On whiteboard; no facility link,Prelude Maintenance Work Agreement 2025 (M-H); HUC & Construction greenfields EAs 2024 (facility unnamed),Their gap — we fill,Share; read the HUC/Construction 2024 EA coverage clauses,Our research,
46,Whiteboard companies,EnerMech,On whiteboard; no facility link,Ichthys E/V 5-yr cranes (H); Woodside 6-asset cranes since 2019 (H); Bass Strait 2026,Their gap — we fill,Share our EnerMech row,Our research,
47,Whiteboard companies,'EEIS / Kuiper',On whiteboard; no facility link,"No 'EEIS' exists in the sector — almost certainly ERIS (Kuiper's 2025 rebrand): Prelude, Crux, Pluto A, Scarborough, Barossa, Gorgon, JIC, Ichthys crews (H)",Their gap — we fill,Confirm 'EEIS' = Eris with colleague; share our Eris row,Our research,
48,Scope,Scopes covered,Catering + maintenance only,"Also helicopters, marine supply, crewing, ROV/subsea, drilling, inspection, decommissioning, survey, emergency/medical (55 employers)",Our extra,The 'Offshore - facility x scope' tab generalises the colleague's format to all scopes,Our research,AGREED (Troy): column-per-scope structure adopted — see 'Offshore - facility x scope'.
49,Scope,Geography,WA offshore production facilities (17),National offshore universe: WA + NT/Timor Sea + Bass Strait/Otway (43 assets + 3 decom extras),Scope / granularity,Keep both scopes explicit; Barossa/Bayu-Undan/Northern Endeavour matter for OA even if 'not WA',—,
,,,,,,,,
LEGEND & METHOD,,,,,,,,
  Consistent,   ,,,,,,,
  INCONSISTENT,   ,,,,,,,
  New info — adopted,   ,,,,,,,
  Our extra,   ,,,,,,,
  Gap (both),   ,,,,,,,
  Scope / granularity,   ,,,,,,,
  Their gap — we fill,   ,,,,,,,
,,,,,,,,
,,,,,,,,
"SOURCE COMPARED: 'WA_Offshore_Oil_Gas_Facilities_Contractor_Matrix.docx' (colleague; Sept 2026) — 17 WA production facilities × production company × catering × maintenance (organisers' whiteboard), plus key updates and 5 unconfirmed whiteboard companies.",,,,,,,,
RESOLVED 22 Sep 2026 (green 'Decision' cells): Prelude = Sodexo (verified); Pyrenees Tier-1 = Woodside with MODEC recorded in the new Key Assets 'Facility / vessel operator' column; Okha = both Legeneering & Monadelphous; Legeneering/Pyrenees removed; ESS at Angel/Pluto A removed (NUIs); Scarborough date corrected; column-per-scope structure adopted.,,,,,,,,
"WHAT THE COLLEAGUE'S MATRIX IS MISSING (worth sharing back): Barossa/BW Opal and Bayu-Undan (NT/Timor Sea), Jansz-Io Compression, Halyard, the decommissioning hubs (Northern Endeavour, Harriet Alpha, Campbell, Enfield/Stybarrow/Griffin), Bass Strait, and every scope beyond catering & maintenance. Our rows for AOS, Programmed, EnerMech and Eris ('EEIS') fill their 'requiring confirmation' list.",,,,,,,,
STILL OPEN (both maps): Scarborough long-term maintenance contractor; Jadestone's caterer and maintenance model at Stag/Montara; Barrow Island camp caterer; Entier's facility; whether 'EEIS' = Eris; Legeneering at Pyrenees (removed pending confirmation).,,,,,,,,
