employer_id,employer_name,employer_category,parent_employer_id,created,active_workers,worksite_roles,agreements,aliases,lineage,oa_universe_entity,proposed_canonical,proposed_relationship,proposed_action,open_question,decision,decided_by,decided_on
815,ATC Offshore,,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",ATC Offshore,ATC Offshore,canonical,keep,—,,,
57,ATLAS PROGRAMMED MARINE (AUSTRALIA) PTY LTD,,,2026-03-10,0,0,4,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Atlas Professionals → Programmed Offshore (legacy name),Programmed Offshore,legacy name / agreement entity,parent 28; is_agreement_entity; alias Atlas Professionals,—,Agreement entity under 28 (D3); alias Atlas Professionals,operator,2026-09-22
723,Auriga Aviation,Specialist,,2026-04-01,6,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Auriga Aviation,Auriga Aviation Pty Ltd,canonical,keep,—,,,
52,AURIGA AVIATION HELICOPTER ENGINEERS,,,2026-03-10,0,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Auriga Aviation,Auriga Aviation (Helicopter Engineers EA),agreement entity of 723,set parent 723,—,Merge into 723 Auriga Aviation; agreement scope = helicopter engineers (D2),operator,2026-09-22
817,Australian Marine Services,Specialist,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
37,AUSTRALIAN OFFSHORE SOLUTIONS PTY LTD,Subcontractor,,2026-03-10,70,30,6,3,"A agreements spreadsheet (employer_wizard, Mar 2026)",AOS (crew provider behind marine key clients),Australian Offshore Solutions Pty Ltd,canonical,keep; kind=crew_provider,—,,,
741,Australian Workers' Union WA Branch,Specialist,,2026-04-01,3,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",AWU WA Branch (union staff),Australian Workers' Union WA Branch,union,kind=union_staff,—,,,
819,Axess Offshore Australia,,,2026-09-17,3,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
70,BAKER HUGHES SERVICES AUSTRALIA PTY LTD,,,2026-03-10,16,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Baker Hughes,Baker Hughes Services Australia,canonical,keep,—,,,
700,Bechtel Australia,Major_Contractor,,2026-04-01,215,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Bechtel (Pluto 2 construction),Bechtel Australia,canonical,keep,—,,,
754,Benthic,Subcontractor,,2026-04-01,0,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
38,BHAGWAN MARINE LTD,Specialist,,2026-03-10,9,5,2,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Bhagwan Marine,Bhagwan Marine Ltd,canonical,keep,—,,,
755,Broadspectrum Ltd/Transfield,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
820,Burgess BLA,,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
1,BW,,,2026-03-10,61,1,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)","BW Offshore (Tier 2 facility operator, BW Opal)",BW Offshore Australia,canonical,rename to legal/trading name; kind=facility_operator; alias 'BW',—,,,
742,Cable Restoration Australia,Specialist,,2026-04-01,2,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
821,Caledonia Group,Subcontractor,,2026-09-17,2,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
720,Cameron Services International,Subcontractor,,2026-04-01,4,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
53,CHC HELICOPTER (AUSTRALIA) AIRCRAFT ENGINEERS,,,2026-03-10,36,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",CHC Helicopter,CHC Helicopter (Australia) Pty Ltd,canonical (name carries the EA workgroup),rename to company; alias aircraft-engineers EA name,—,Rename to CHC Helicopter (Australia); agreement scope = aircraft engineers (D2),operator,2026-09-22
691,Chevron,Principal_Employer,,2026-03-13,7,0,0,0,"M manual (principal employers, Mar 2026)",Chevron Australia (Tier 1),Chevron Australia Pty Ltd,canonical root,keep; set kind=operator_tier1; add ABN,"Q-E1 Are rows 2/3/4 employers or Chevron agreement workgroups? (recommend: agreement-holding units under 691, facility carried by worksite/engagement)",,,
2,CHEVRON GORGON OPERATIONS,,691,2026-03-10,224,4,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Chevron Australia,Chevron Australia Pty Ltd,agreement workgroup of 691 (Gorgon operations EA),keep as agreement entity; is_agreement_entity=true; move facility to worksite Gorgon,Q-E1,"Merge into 691 Chevron; agreement coverage = Gorgon LNG, scope = production operations (D2)",operator,2026-09-22
3,CHEVRON WHEATSTONE DOWNSTREAM OPERATIONS,,691,2026-03-10,148,1,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Chevron Australia,Chevron Australia Pty Ltd,agreement workgroup of 691 (Wheatstone downstream EA),keep as agreement entity; facility → Wheatstone LNG,Q-E1,"Merge into 691 Chevron; agreement coverage = Wheatstone LNG, scope = production operations (D2)",operator,2026-09-22
4,CHEVRON WHEATSTONE PLATFORM,,691,2026-03-10,33,2,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Chevron Australia,Chevron Australia Pty Ltd,agreement workgroup of 691 (Wheatstone platform EA),keep as agreement entity; facility → Wheatstone Platform,Q-E1,"Merge into 691 Chevron; agreement coverage = Wheatstone Platform, scope = production operations (D2)",operator,2026-09-22
709,Cleanaway Waste Management,Subcontractor,,2026-04-01,18,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Cleanaway,Cleanaway,canonical,keep,—,,,
724,Clough,Subcontractor,,2026-04-01,3,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
58,COMPASS GROUP –,Major_Contractor,,2026-03-10,118,14,10,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",Compass Group (ESS),Compass Group (Australia) — ESS,canonical (name has trailing dash),rename 'Compass Group (ESS)'; alias ESS,—,,,
16,CONTRACT RESOURCES PTY LTD,,,2026-03-10,32,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Contract Resources,Contract Resources Pty Ltd,canonical,keep,—,,,
705,Cyan Renewables,Specialist,,2026-04-01,49,16,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Cyan Renewables (ex-MMA Offshore),Cyan Renewables,canonical,"keep; alias MMA Offshore, MMA",Q-E8,"Survivor for MMA Offshore / Cyan Renewables; aliases MMA, MMA Offshore, Mermaid Marine (D12)",operator,2026-09-22
17,DAMPIER BUNBURY NATURAL GAS PIPELINE (DBNGP) NATIONAL CONTROL CENTRE,,,2026-03-10,5,2,1,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",APA / DBP (DBNGP),APA Group (DBNGP),name contains a line break; APA Group 814 duplicate,merge 814 → 17 or make 17 the DBNGP agreement entity under APA root; clean the name,Q-E22,,,
71,DIAMOND,,,2026-03-10,18,0,2,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Diamond Offshore (now Noble),Diamond Offshore (agreement entity),subsidiary / agreement entity of Noble,set parent 73; keep for EA 86/118,Q-E10,,,
39,DOF MANAGEMENT AUSTRALIA PTY LTD,,,2026-03-10,114,7,3,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",DOF Subsea Australia,DOF Subsea Australia Pty Ltd,canonical,keep; alias DOF Subsea (recorded),—,,,
18,DOWNER EDI ENGINEERING ELECTRICAL LNG FACILITY SERVICES,,,2026-03-10,2,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Downer,Downer EDI Engineering Electrical (LNG Facility Services EA),agreement entity of 710,set parent 710; is_agreement_entity,—,Merge into 710 Downer; agreement scope = electrical LNG facility services (D2),operator,2026-09-22
710,Downer EDI Group,,,2026-04-01,147,1,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Downer,Downer EDI,canonical root,keep,—,,,
66,DURATEC,,,2026-03-10,20,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",WPF Duratec (Wilson's Pipe Fabrication),WPF Duratec Pty Ltd,canonical,rename/alias 'WPF (Duratech)',Q-E17 Confirm DURATEC = WPF Duratec,,,
822,Eire Total Access,Subcontractor,,2026-09-17,0,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
712,EnerMech,Subcontractor,,2026-04-01,11,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",EnerMech,EnerMech Pty Ltd,canonical,alias 'Enemech',—,,,
756,Enhanced Drilling,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
72,ENSCO AUSTRALIA PTY LIMITED,,,2026-03-10,2,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Valaris (Ensco Australia Pty Ltd),Ensco Australia Pty Limited,agreement entity of Valaris,set parent 702; is_agreement_entity,—,,,
757,Ensign Intn Energy Services,,,2026-04-01,0,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
62,ENTIER AUSTRALIA PTY LTD,,,2026-03-10,3,1,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Entier,Entier Australia Pty Ltd,canonical,keep (low confidence in OA Universe),—,,,
758,Epigroup,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
19,ERIS,Labour_Hire,,2026-03-10,263,4,6,5,"A agreements spreadsheet (employer_wizard, Mar 2026)",Eris (ex-Kuiper),Eris Australia Pty Ltd (ex-Kuiper),canonical,keep; kind=crew_provider/contractor,—,,,
823,ESI Tech Services,Subcontractor,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
759,Everllence,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
760,Expro Group Aust Pty Ltd,Subcontractor,,2026-04-01,0,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
761,Firesafe Group,Specialist,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
825,Focus Offshore,Subcontractor,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
762,Fortescue Metals Group,Producer,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Fortescue (out of sector),Fortescue,out of universe,kind=out_of_universe,—,out_of_universe unless an admin rules otherwise (D11),operator,2026-09-22
788,Fortis Maintenance Services,Major_Contractor,,2026-04-09,120,1,0,0,T? same-day batch as TestCo rows (9/16 Apr 2026) — verify,— (not in OA Universe; created 9 Apr 2026 with TestCo Energy),?,suspected synthetic,verify against the membership system before any action,Q-E19,"Remove with the synthetic dataset (D4): all workers on TEST worksites, no membership numbers",operator,2026-09-22
40,FUGRO AUSTRALIA PTY LTD,,,2026-03-10,61,3,3,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",Fugro (Australia Marine / Australia),Fugro Australia Pty Ltd,canonical; alias for marine entity recorded,—,—,,,
763,Fuze Group,Subcontractor,,2026-04-01,2,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
764,GFS NDT,Specialist,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
797,GO OFFSHORE,,,2026-06-10,34,10,0,0,B2 worker import / manual (Apr–Aug 2026),GO Offshore,GO Offshore Pty Ltd,canonical,keep,—,,,
765,GR Production Services,Subcontractor,,2026-04-01,3,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",GR Production Services,GR Production Services Pty Ltd,canonical,keep; kind=crew_provider,—,,,
766,Heat Tech Australia,Subcontractor,,2026-04-01,0,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
721,Helix Robotic Solutions,Specialist,,2026-04-01,6,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Helix Energy Solutions,Helix Energy Solutions,canonical,rename/alias 'Hjelix',—,,,
827,IAS Group,Subcontractor,,2026-09-17,5,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",IAS Group (Innovative Asset Solutions),IAS Group,distinct company per OA Universe,keep; resolve conflict with alias IAS GROUP→UGL (agreement 119 IAS GROUP EA 2019-2023 currently on UGL),Q-E9,Merge into 33 UGL; keep name as alias (D12: IAS acquired by UGL in 2021),operator,2026-09-22
690,Inpex,Principal_Employer,,2026-03-13,9,0,0,0,"M manual (principal employers, Mar 2026)",Inpex (Tier 1),INPEX Operations Australia Pty Ltd,canonical root,keep; set kind=operator_tier1,Q-E3 Attach 5 under 690 as agreement entity (Ichthys Operations EA)?,,,
5,INPEX - ICHTHYS OPERATIONS,,,2026-03-10,215,2,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Inpex,INPEX Operations Australia Pty Ltd,agreement workgroup of 690 (no parent set today),set parent_employer_id=690; is_agreement_entity=true,Q-E3,Merge into 690 Inpex; agreement coverage = Ichthys (D2),operator,2026-09-22
734,Inverse Group,Subcontractor,,2026-04-01,3,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
743,IQIP,Subcontractor,,2026-04-01,0,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
88,ISOLOGICS,,,2026-03-10,0,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",KAEFER (ISOLOGIC),Isologics,agreement entity (expired EA),parent 704 if confirmed,Q-E15,,,
693,Jadestone,Principal_Employer,,2026-03-13,0,0,0,0,"M manual (principal employers, Mar 2026)",Jadestone Energy (Tier 2),Jadestone Energy (Australia) Pty Ltd,duplicate root of 695,merge 693 ↔ 695 into one root (keep Principal_Employer kind),Q-E4 Which id survives; 6 and 7 re-parented to survivor,,,
695,JADESTONE ENERGY,,,2026-03-31,0,0,0,0,"M manual (principal employers, Mar 2026)",Jadestone Energy (Tier 2),Jadestone Energy (Australia) Pty Ltd,"duplicate root (parent of 6, 7)",merge with 693,Q-E4,,,
6,JADESTONE ENERGY MONTARA VENTURE,,695,2026-03-10,39,2,2,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",Jadestone,Jadestone Energy,agreement workgroup (Montara Venture EA),keep as agreement entity,—,Merge into the surviving Jadestone row; agreement coverage = Montara Venture FPSO (D2); survivor 693 vs 695 to confirm (Q-E4),operator,2026-09-22
7,JADESTONE ENERGY STAG CPF,,695,2026-03-10,26,1,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Jadestone,Jadestone Energy,agreement workgroup (Stag EA),keep as agreement entity,—,Merge into the surviving Jadestone row; agreement coverage = Stag CPF (D2); survivor to confirm (Q-E4),operator,2026-09-22
801,Jan De Nul,,,2026-06-10,3,1,0,0,B2 worker import / manual (Apr–Aug 2026),Jan De Nul,Jan De Nul,canonical,keep,—,,,
41,JETWAVE MARINE SERVICES PTY. LTD.,,,2026-03-10,3,4,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Jetwave Marine,Jetwave Marine Services Pty Ltd,canonical,keep,—,,,
828,Joyce Krane,Subcontractor,,2026-09-20,2,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
735,JPS Management & Execution,Subcontractor,,2026-04-01,2,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
704,Kaefer Integrated Services Pty Ltd,Subcontractor,,2026-04-01,20,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",KAEFER (ISOLOGIC),KAEFER Integrated Services,canonical,keep,Q-E15 Is ISOLOGICS (88) a KAEFER entity? OA Universe lists 'Kaefer (ISOLOGIC)',,,
725,KBSS Engineering,Subcontractor,,2026-04-01,2,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",KBSS,KBSS Engineering,canonical,keep,—,,,
718,Kent Offshore,Subcontractor,,2026-04-01,4,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
21,LEGENEERING (AUST.) PTY LTD,,,2026-03-10,83,0,3,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",Legeneering,Legeneering (Aust.) Pty Ltd,canonical,keep,—,,,
730,LifeFlight,Specialist,,2026-04-01,3,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
767,Maersk,Subcontractor,,2026-04-01,1,2,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Maersk (drilling),Maersk,canonical,keep,—,,,
768,Maritime Constructions,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
68,MCDERMOTT AUSTRALIA PTY LTD,,,2026-03-10,108,3,4,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",McDermott Australia (+ Crewing Services),McDermott Australia Pty Ltd,canonical; alias for crewing entity recorded,consider agreement entity for McDermott Australia (Crewing Services),—,,,
744,Mechanical Project Services,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
769,Medical Rescue,Specialist,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
770,MEGT Australia,Subcontractor,,2026-04-01,2,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",MEGT (group training),MEGT,apprentice host arrangement,kind=labour_hire/group_training,—,,,
829,MER Solutions: Port Hedland,,,2026-09-20,0,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),?,new name from membership sync,review: match to canonical or accept as new employer; set kind,Q-E23 Should the membership sync create employers automatically?,,,
745,Mermaid Marine,Subcontractor,,2026-04-01,1,1,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",MMA Offshore (Mermaid Marine Australia),Cyan Renewables,legacy name of MMA Offshore,merge 745 → 705 with alias,Q-E8,Merge into 705 Cyan Renewables with alias Mermaid Marine (D12),operator,2026-09-22
719,Mitsui E&P Australia,Subcontractor,,2026-04-01,11,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
25,MIZCO PTY LTD,,,2026-03-10,0,1,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Mizco,Mizco Pty Ltd,canonical,keep,—,,,
699,MMA,Specialist,,2026-03-31,1,1,2,0,"M manual (principal employers, Mar 2026)",MMA Offshore → Cyan Renewables,Cyan Renewables (ex-MMA Offshore),same company as 705 (rebrand); ALSO alias 'MMA' currently points at Monadelphous (wrong),merge 699 → 705; delete/redirect alias 'MMA'→Monadelphous; 2 MMA vessel-ops agreements move to 705,"Q-E8 Confirm 'MMA' alias to Monadelphous is an error (MMA = MMA Offshore, not Monadelphous)",Merge into 705 Cyan Renewables with alias MMA; delete alias MMA -> Monadelphous (D12),operator,2026-09-22
771,Mobilize,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
703,Modec,Subcontractor,,2026-04-01,25,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)","MODEC (Tier 2 facility operator, Pyrenees Venture)",MODEC Management Services Pte Ltd,duplicate of 93,merge 703 → 93 (93 holds the 3 agreements); kind=facility_operator,Q-E6 Survivor id?,One MODEC row under the legal-entity rule (D2); survivor 93 vs 703 to confirm (Q-E6),operator,2026-09-22
93,MODEC Management Services,,,2026-03-10,0,1,3,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",MODEC,MODEC Management Services Pte Ltd,canonical (agreement holder),keep,Q-E6,One MODEC row under the legal-entity rule (D2); survivor 93 vs 703 to confirm (Q-E6),operator,2026-09-22
26,MONADELPHOUS ENGINEERING ASSOCIATES PTY LTD,Major_Contractor,,2026-03-10,941,9,7,6,"A agreements spreadsheet (employer_wizard, Mar 2026)",Monadelphous (MEA / M&ISS / M Maintenance / MWOG),Monadelphous Group,canonical root today; aliases fold four agreement-holding subsidiaries into one row,"split: keep 26 as group root; create agreement entities MEA, M&ISS, M Maintenance Services (from aliases) so each EA points at its holder",Q-E7 Keep the collapsed model (one Monadelphous) or restore subsidiaries as agreement entities? Affects 941 workers' EA attribution,"Group root; MEA, M&ISS and M Maintenance Services restored as agreement-entity children (D3)",operator,2026-09-22
731,MSS Security,Subcontractor,,2026-04-01,5,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
795,MUA,,,2026-05-28,3,0,0,0,B2 worker import / manual (Apr–Aug 2026),MUA (union staff),Maritime Union of Australia,"union, not an employer in the universe",kind=union_staff (keep for internal campaign 50),—,,,
27,MWOG PTY LTD,,,2026-03-10,0,1,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Monadelphous (MWOG),MWOG Pty Ltd,subsidiary / agreement entity of 26,set parent_employer_id=26; is_agreement_entity,Q-E7,Agreement entity under 26 (D3),operator,2026-09-22
746,NES Fircroft,Subcontractor,,2026-04-01,5,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",NES Fircroft (labour hire),NES Fircroft,canonical,kind=labour_hire,—,,,
73,NOBLE,,,2026-03-10,0,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Noble Corporation (acquired Diamond Offshore 2024),Noble Corporation,canonical (agreement holder),keep as root; 736 merge in; 71 DIAMOND as agreement entity under Noble,Q-E10 Treat Diamond Offshore as agreement entity under Noble (18 workers)?,,,
736,Noble Corporation,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Noble,Noble Corporation,duplicate,merge 736 → 73,—,,,
772,Nopsema,Subcontractor,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",NOPSEMA (regulator),—,not an employer in the universe,kind=out_of_universe or retire,Q-E20,Not an employer: out_of_universe unless an admin rules otherwise (D11),operator,2026-09-22
773,North Kimberley Airport,Specialist,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
793,NorthStar Marine Coatings,Subcontractor,,2026-04-16,48,3,0,0,T? same-day batch as TestCo rows (9/16 Apr 2026) — verify,— (not in OA Universe; created 16 Apr 2026),?,suspected synthetic,verify,Q-E19,"Remove with the synthetic dataset (D4): all workers on TEST worksites, no membership numbers",operator,2026-09-22
